teff_gspphot,phot_g_mean_flux,distance_pc,radius_gspphot
3740.5674,2985.76830543541,508.18686480083056,0.5595
4183.898,22466.92080840338,225.47291590723367,0.6339
5471.21,55246.9691805741,923.3267025099343,1.4746
4084.0217,2039.1951024530576,970.2528125475739,0.547
5148.2983,10211.47791210205,2292.8512977080086,1.9517
5491.781,10698.43322339353,2090.370528180368,0.9654
5574.6885,13090.070628680902,1109.236405723886,0.7367
3487.4033,3405.848336747454,209.62472652827657,0.3929
5548.693,6689.304062621346,1669.7618211199845,0.7157
4250.0415,2476.376218932035,575.6435921567095,0.6135
5608.864,9751.028468230426,1841.1902249998898,0.8063
5086.4907,6054.743912083688,1847.2748976492155,0.7687
4133.462,2681.227592069983,733.1338997031493,0.5955
3659.6545,2418.203272864761,1073.7574488166483,0.8082
4745.2363,4144.101751277604,1509.2875762116867,0.8083
3521.6987,1459.5293976177636,339.59266747097405,0.3879
4431.2993,2460.0710864468456,942.219000904611,0.78
5892.9897,13597.97010150539,1374.7722275311853,0.8425
5944.0464,17807.600918083248,2281.2445805754523,1.1638
5020.1587,10919.408431315273,1247.5397151966408,1.0054
4982.9785,4686.296162021959,1102.1983400338183,0.5851
3223.9163,525.632059755356,434.329729265814,0.2528
4845.182,20077.87001914286,453.70883563753375,0.6333
3556.7007,1749.193866372948,497.9088241656971,0.4622
5169.1704,29142.37348420735,937.7581417616527,1.2043
5142.926,13522.446213454508,863.7870665574828,0.7544
5095.9688,7448.121973448756,1354.8833353383134,0.6157
5060.8936,8847.516625165543,1203.2161696732608,0.698
3293.3108,786.9472270818677,397.72745865053406,0.303
5929.797,28200.516569359606,1221.3896058863568,1.2003
5083.451,22780.14834567877,827.5589990011364,1.0325
5764.115,70548.99753980745,630.0580833486651,1.0718
4776.7207,48055.82964729547,501.21487741426625,1.0808
5494.4526,34682.38386955003,845.8924141682187,1.047
4822.7476,54155.0954521493,4373.951383420784,6.2371
5999.203,49802.10372141175,961.3052916438867,1.2961
4314.966,23288.11164245091,379.53627497022546,0.9306
5935.855,1380520.3852024763,156.70189326606157,1.0956
5575.5483,6252.798971858237,2042.3769737304317,0.7184
5843.8887,208523.94140679413,404.3180288891709,1.2387
4506.314,6169.27267693826,692.3534069541583,0.7552
4452.6636,8902.535204441761,578.2402834196969,0.7338
3902.1702,1711.1351281937962,729.1642876175649,0.4383
