source_id,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,radius_gspphot
139228928339696128,0.9400866486100935,0.032450765,28.969627,0.9351452,15.166464,15.675123,14.495887,1.1792364,5125.6675,1.1332
139229890412392320,1.667832690855801,0.015543294,107.3024,1.0494068,12.503071,12.887142,11.946134,0.94100857,6017.579,1.7785
139231745838246016,0.8351781168959977,0.027116938,30.799131,1.3814784,14.073612,14.438909,13.530731,0.9081774,6335.734,1.5768
139235010013376000,2.6311506549006394,0.021472728,122.53454,1.0367954,14.123653,14.677017,13.420258,1.2567596,5152.9756,0.7736
139235662848392704,0.5332110905997896,0.049318377,10.811611,1.0276974,16.058878,16.47534,15.469069,1.0062714,5517.6064,0.7199
139238927023548416,0.6534604511603674,0.025896449,25.233593,0.99198246,14.437497,14.788781,13.91104,0.87774086,6568.8184,1.5499
139239442419607296,0.6291884386904629,0.0319578,19.6881,1.0333312,15.12846,15.625117,14.464966,1.1601515,5345.144,1.4417
139240267053313792,3.578904212720803,0.03654129,97.941376,1.0458417,15.522016,16.516422,14.536881,1.9795408,4228.5605,0.6482
139242088119419392,0.740818391190204,0.06419312,11.540464,0.9859203,16.463491,17.025255,15.758155,1.2671003,5095.924,0.5982
139243531228524800,5.844850860484584,0.07493322,78.00079,0.9455518,16.925163,18.652407,15.6747,2.977707,3335.2913,0.396
139244080984469632,0.8699693157390752,0.02365132,36.783115,0.9752131,14.327141,14.704356,13.777055,0.9273014,6211.7856,1.3446
139244355862230400,2.5673625094643087,0.016860684,152.26917,1.1806643,12.447687,12.878024,11.850028,1.0279961,5399.2437,1.3936
139245141839808384,1.4016341620330546,0.08914491,15.723099,0.947591,17.336494,18.32327,16.368374,1.9548969,4324.4844,0.7472
139246520525708288,1.3571812679090292,0.06868611,19.75918,0.99530995,16.795784,17.62451,15.920045,1.7044649,4401.391,0.6401
139247929275022848,2.2250006380587934,0.030190038,73.69983,1.1376354,14.453042,15.050568,13.720044,1.3305235,5049.5376,0.7877
139248234216276736,0.9202382668715452,0.08680758,10.600898,0.9864714,17.100464,17.715048,16.37209,1.3429585,4782.9526,0.6072
139248341591866496,1.9616540762607737,0.0378598,51.81364,0.96940553,15.520272,16.193665,14.731388,1.4622765,4676.2046,0.7419
139248444671075968,1.4674282843307924,0.06525893,22.486246,1.0390648,16.60176,17.352385,15.760322,1.592063,4455.894,0.6571
139250093938503424,0.9187202594086296,0.032035947,28.677792,0.9988216,15.127309,15.593938,14.490977,1.1029606,5772.976,0.9513
139250265737195904,1.7255550980351937,0.032373197,53.301968,1.0652183,15.019072,15.624352,14.275782,1.3485708,4871.916,0.8794
139250918572203392,0.5611502514260257,0.05370494,10.448764,1.0089042,16.240782,16.741697,15.585439,1.1562586,4828.3877,0.9172
139251395312250880,0.9557135879850719,0.08273914,11.550925,1.0982456,17.060558,17.736097,16.272049,1.4640484,4250.135,0.4955
139253255034401920,0.535019830999826,0.045459732,11.7690935,0.93779635,15.730999,16.341522,14.975642,1.36588,4995.685,1.3099
139255797655268608,1.6349371196721458,0.07271707,22.48354,1.0443739,16.966646,17.958984,15.985769,1.9732151,3692.817,0.7111
139256038173207680,0.6867589368316093,0.048989516,14.018488,1.0028045,16.147532,16.681265,15.4646225,1.2166424,5288.406,0.8473
139258615153557632,0.9092152548463807,0.08130984,11.182106,1.0011714,16.850769,17.496695,16.086096,1.4105988,4611.039,0.5326
139261363932610560,0.7822499697127132,0.04308621,18.15546,1.0080884,15.3947315,15.821977,14.7973995,1.0245771,5509.1616,0.8819
139263666035239168,1.0682012501080411,0.029926982,35.693584,1.0211653,14.730572,15.181842,14.107926,1.0739155,5775.6133,1.174
139264181431159424,0.613127827731756,0.027679821,22.150715,1.00368,14.120349,14.450058,13.618726,0.8313322,6735.737,1.7796
139265933777803264,2.142803555454949,0.07583002,28.257986,1.0116764,16.746965,17.720083,15.801703,1.9183798,4320.37,0.6097
139266449173875072,1.961102087112573,0.029664854,66.108604,0.9247947,14.622867,15.202823,13.900824,1.3019991,4867.334,0.8893
139269640333833472,2.073320294097726,0.08447489,24.543629,1.1387417,16.742287,17.882156,15.682588,2.1995687,4134.5967,0.6519
139269816426216064,4.10817411986341,0.27891374,14.729193,0.8852217,18.934086,20.4762,17.629274,2.8469257,3060.0264,0.2314
139270812860615808,1.1009112307621214,0.026027687,42.297695,0.95205444,14.238192,14.6347475,13.667722,0.96702576,5989.2026,1.151
139272938868065024,2.889155941989806,0.21764606,13.274562,1.0301824,18.232943,20.079689,16.895065,3.1846237,3437.5398,0.9829
139274351913667840,1.4707215828845972,0.01688441,87.10529,1.0931485,12.751954,13.369671,12.002314,1.3673573,4924.81,2.9924
139276276058995968,1.0808880333460718,0.026724245,40.44597,1.0622648,14.625902,15.054545,14.027776,1.0267696,5857.781,1.0624
