temperature_K,radius_m,distance_m,flux_proxy,logT,logR,logD,logF
4907.78,474884820.0,1.9187774726106096e+19,11629.86470923297,3.6908850864658325,8.67658828730027,19.283024610993394,4.0655746625895555
4603.5703,534297600.0,1.6422226688806697e+19,10412.320666594696,3.6630947795433224,8.727783223389162,19.21543204274069,4.017547534541706
5363.259,838596780.0,2.0874879159183712e+19,44833.19647046556,3.729428770215874,8.923553190489542,19.31962397011245,4.6515997038445125
15001.793,2809793160.0,1.4206415958662088e+20,48536.50415650686,4.176143168620351,9.448674350945327,20.15248452650575,4.6860684930463385
5900.6,767635380.0,3.706504790477589e+19,11735.65445431626,3.7708961749371235,8.88515498297937,19.568964565762666,4.0695073136170095
3486.5876,288785070.0,1.79543435990572e+19,892.1497881569045,3.542400581262917,8.46057473673617,19.254169532184545,2.9504377766952947
7384.538,982884960.0,7.764537206529873e+19,9647.57547877141,3.8683233296646273,8.992502689591143,19.89011557537172,3.9844181850030296
5739.59,714623039.9999999,2.447741928805212e+19,26159.32110361616,3.758880870255605,8.854077014082428,19.38876562719738,4.417626468827338
5322.699,438917130.0,4.395314857773618e+19,3658.803882754742,3.7261319074022903,8.642382530763633,19.64298999114946,3.56333913129036
6270.942,815221260.0,3.3426753479659905e+19,10668.280461025655,3.797332784000284,8.911275497029148,19.52409419847901,4.02809442444142
6007.3994,618059880.0,3.0760502806108045e+19,14790.796945745744,3.7786865068349567,8.791030553234085,19.48799343009342,4.169991574930983
4669.619,706483350.0,2.32531936767434e+19,9552.577049835609,3.6692814473867292,8.849101931098476,19.366482608879082,3.9801205493369953
4364.141,530471250.0,2.612730163928717e+19,1890.4037954455807,3.6398987736607396,8.724661851376473,19.417094559222917,3.27655458057703
6169.3457,847084320.0,3.177808833293427e+19,24160.271757273626,3.7902391066673675,8.927926642784147,19.502127767905055,4.383101814966502
3672.0735,356546249.99999994,5.393432085505709e+18,12633.463872978376,3.5649113654281583,8.552115873085441,18.731865214435004,4.101522442769883
6818.0044,1032001380.0,7.929121124664967e+19,11927.766885939214,3.8336572771649613,9.013680278033425,19.89922505215227,4.076559142757182
5309.502,980450010.0,4.89657709399264e+19,12155.49049204408,3.7250537887284554,8.991425455286198,19.68989259663073,4.0847724879584835
4453.6074,458118450.0,1.513800594594744e+19,9217.196604089077,3.6487119299120705,8.660977782655452,19.180068671484626,3.964598851150571
6049.662,625921290.0,5.659362158625151e+19,7811.310613229586,3.781731110911065,8.79651972383684,19.752767486559442,3.892723907672457
6634.189,967579560.0,2.7777589921398747e+19,67029.70620496254,3.8217878398828704,8.98568668536887,19.443694562163184,4.826267315860335
5024.132,576596160.0,2.8482682029149598e+19,7969.035135260046,3.7010610411826677,8.760871745758807,19.454580881580615,3.9014057416220793
5554.4956,921593790.0,4.180690998286543e+19,19559.43487963641,3.744644627078393,8.964539539670913,19.62124806932073,4.291356302793044
6255.991,1277235630.0,4.5435291228564726e+19,35790.41078067405,3.796296115267081,9.106271025195122,19.657393316113712,4.553766682987831
5772.358,471962880.0,2.730075932648701e+19,10301.2799084343,3.7613532580768774,8.673907842606306,19.436174726407685,4.012891188067987
9839.3125,1479753899.9999998,1.0380757486323936e+20,18214.342146351257,3.9929647541338533,9.170189493260379,20.01622904523958,4.260413490298281
5555.923,529636410.0,4.712605644379595e+19,7163.326729660551,3.7447562181838583,8.723977833150961,19.67326109907737,3.855114760407895
5152.2373,451648440.0,3.667849642121952e+19,4592.762846415917,3.711995857400516,8.654800514511845,19.564411524125802,3.662074020607992
5868.4507,765270000.0000001,3.559793522659792e+19,15713.035466153102,3.768523460489321,8.883814688515875,19.551424808486907,4.196260090759764
4703.1494,589118760.0,3.939459733969818e+19,3263.813096663685,3.6723887747411976,8.770202852705024,19.59543666582454,3.513725280776765
5380.2153,472032450.0,3.420944913121431e+19,6035.840042448076,3.730799655170304,8.673971855353406,19.534146080873164,3.7807377218917173
5071.042,5512726800.0,8.175172000206689e+19,17123.46705426194,3.705097207529278,9.74136647022416,19.91249689869683,4.233591702519254
7161.2065,1431541890.0,5.9655766843435885e+19,25888.86007323154,3.8549861971892674,9.155804060935798,19.775652432704174,4.413112928194456
3693.0054,294281100.0,1.5082374717930508e+19,1324.1539495542006,3.5673799426871247,8.468762370732692,19.178469726526984,3.121938480235935
4521.1147,553638060.0,2.083214695236017e+19,8374.112825369812,3.6552455251597507,8.743225938168019,19.31873403046212,3.9229388078933343
4813.1436,4303461060.0,1.0773696837998933e+20,31492.73870462836,3.6824288190339485,9.633817877592458,20.032364750731322,4.49821042985182
6788.033,943647480.0,3.783694444654338e+19,19170.449141544075,3.8317439449719592,8.974809784463698,19.57791605733901,4.282632288016777
4718.2314,10034220240.0,1.0457160758512824e+20,78771.17641190278,3.673779236523872,10.001483629078317,20.01941378450338,4.896367331509468
5903.9214,1224571140.0,6.010832823289698e+19,17962.79898490342,3.77114056701053,9.087984020013613,19.77893464929079,4.254374009891793
4275.6855,558160110.0,1.482393876471436e+19,8595.316006848132,3.631005752982544,8.746758795560146,19.170963612314512,3.934261848156002
3569.3699,288506790.0,1.3059871680410642e+19,1073.8243335428049,3.552591556979079,8.460156038721667,19.115938909805568,3.0309332411280816
4641.0723,678098790.0,4.225254993015746e+19,5322.413082721497,3.6666183340399017,8.831292969422295,19.625852923633158,3.7261085779539203
4928.4775,551481390.0,1.8232274932040917e+19,15489.866440083477,3.692712778208499,8.741530861551048,19.26084086112844,4.190047673112026
4429.283,512591760.0,1.4694808555924998e+19,11633.180378806552,3.646333429531068,8.709771620546443,19.16716393245375,4.065698462118286
4010.9053,369625410.0,1.9157419201218347e+19,1900.3855953094103,3.603242408136482,8.567761819267387,19.28233700254197,3.278841729860541
5161.6646,7088139450.0,8.981684746520648e+19,41851.01244301511,3.712789781087039,9.850532253146737,19.95335780743464,4.6217059687354
3727.7961,564560550.0,1.9906064994117628e+19,3582.8036658483884,3.571452149640472,8.7517105275199,19.29898541772497,3.554223009903515
5905.497,619033860.0,6.004068550922366e+19,6089.541070270102,3.771256453223817,8.791714404769676,19.778445642118427,3.7845845638710576
4642.5073,22741250310.0,1.400955730416302e+20,39383.4145789406,3.6667525953083664,10.356814338443462,20.14642441198836,4.595313367172953
7764.949,1088631360.0,7.281679561320739e+19,7922.828811377607,3.8901386076381366,9.036880840801176,19.862231563390537,3.898880272223789
